material_source,material_title,material_date,material_url,material_reference,link_type,matched_terms,evidence_summary
canva,How to Teach AI Literacy to Primary School Children,2025-08-14,https://canva.link/njzgya3gi1x98h7,src/_data/canva-presentations.json#12,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Tekoälyluento ja työpaja (EN),2025-08-05,https://www.canva.com/d/Th9VKpjA84-sgKY,src/_data/canva-presentations.json#45,possible_teaching_material_no_confirmed_course,ai literacy,"Aihe liittyy opetukseen (ai literacy), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Tekoälyluento ja työpaja (FIN),2025-08-04,https://www.canva.com/d/jT1t-KBLsuVoxiG,src/_data/canva-presentations.json#46,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Miksi some koukuttaa? Somekoneen uusi työkalu,2025-05-15,https://canva.link/zbw32teldfkpf43,src/_data/canva-presentations.json#13,possible_teaching_material_no_confirmed_course,media,"Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (media), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Tekoälyn vaikutuksia korkeakoulupedagogiikkaan,2025-05-11,https://www.canva.com/d/qxV96znMIpZ5Q2a,src/_data/canva-presentations.json#47,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Älyä! Teko! Tekoälyajan kognitiiviset työkalut ja ydintaidot,2025-05-05,https://www.canva.com/d/nJE4skdc9hohwL0,src/_data/canva-presentations.json#48,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,ITK2025 Areena,2025-04-24,https://canva.link/0wntulrm8xeayqa,src/_data/canva-presentations.json#14,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Miksi some koukuttaa? Miten tekoäly toimii? – ITK2025 Foorum,2025-04-22,https://www.canva.com/d/BHFIfQOhEw4ABCA,src/_data/canva-presentations.json#15,possible_teaching_material_no_confirmed_course,"media; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (media, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Miten tekoälyn kehitys on muuttanut korkeakoulujen toimintaa?,2025-04-14,https://www.canva.com/d/gkvZ4JJwmVa0Knk,src/_data/canva-presentations.json#49,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Tekoäly arjessa – Helsinki Education HUB,2025-04-09,https://www.canva.com/d/Un4WxPZdZD5qG6a,src/_data/canva-presentations.json#16,possible_teaching_material_no_confirmed_course,"luento; media; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (luento, media, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Robotiikkaa ja selitettävää tekoälyä – Opetettavan koneen ja Somekoneen uudet ominaisuudet,2025-03-20,https://www.canva.com/d/CRypZKJybJhhwBd,src/_data/canva-presentations.json#17,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Generation AI – Esittely japanilaiselle vieraalle,2025-03-18,https://www.canva.com/d/qx9PoFlOBrBceoH,src/_data/canva-presentations.json#18,possible_teaching_material_no_confirmed_course,ai literacy,"Aihe liittyy opetukseen (ai literacy), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Selitettävä tekoäly opetuksessa – ITK-webinaari,2025-03-11,https://www.canva.com/d/jkh6GGDWw4nOc3_,src/_data/canva-presentations.json#19,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly; webinaari","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly, webinaari), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Generative AI as a Tool to Adapt Teaching to Learner's Needs,2025-02-25,https://www.canva.com/d/qX_3Ld__WgjScWJ,src/_data/canva-presentations.json#20,possible_teaching_material_no_confirmed_course,"learning; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (learning, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,"Generative AI as a Professional Tool – Agent, Coach or Friend?",2025-02-05,https://www.canva.com/d/z50JNAQrXmpHanN,src/_data/canva-presentations.json#21,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,"Tekoäly, opettajan työ ja arvioinnin muutos",2025-02-04,https://www.canva.com/d/aDY3w1A8bLJm0kr,src/_data/canva-presentations.json#51,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Voiko tekoälyn käyttöä oikeasti kieltää?,2025-02-03,https://www.canva.com/d/OhD7wKtj_XV-VGg,src/_data/canva-presentations.json#52,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Generatiivinen tekoäly – Tekoäly työkaluna III,2025-01-16,https://www.canva.com/d/I-r13uz6Wiip2cC,src/_data/canva-presentations.json#53,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Innokas 2025 – Muutama sananen selitettävästä tekoälystä,2025-01-16,https://canva.link/nteaui2pa0a3zom,src/_data/canva-presentations.json#8,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Miten tekoäly toimii? Miksi some koukuttaa?,2025-01-16,https://www.canva.com/d/Mh-ALQxZX1-EQaB,src/_data/canva-presentations.json#55,possible_teaching_material_no_confirmed_course,"media; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (media, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Tekoäly osana arkisia sovelluksia,2025-01-16,https://www.canva.com/d/4zq6qy9B3GX9FQK,src/_data/canva-presentations.json#54,possible_teaching_material_no_confirmed_course,"opetus; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (opetus, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Tekoälyosaamista kieltenopetukseen,2025-01-10,https://www.canva.com/d/uZIb__sx1r4EAqT,src/_data/canva-presentations.json#22,possible_teaching_material_no_confirmed_course,"luento; opetus; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (luento, opetus, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Tekoälyn ajankohtaiskatsaus – OTAVIA 2025,2025-01-02,https://www.canva.com/d/I1SYHLZ9wRiCanl,src/_data/canva-presentations.json#56,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Digitutorit 2024 – Tekoäly opetuksessa,2024-12-10,https://www.canva.com/d/BwG8adUhENZ7jrX,src/_data/canva-presentations.json#57,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly; koulutus","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly, koulutus), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Learning AI Literacy in Collaborative Projects with an AI Education Tool,2024-12-10,https://www.canva.com/d/UigBOzdI_YhoZZG,src/_data/canva-presentations.json#23,possible_teaching_material_no_confirmed_course,Collaborative Learning,"Aihe liittyy opetukseen (Collaborative Learning), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,DIGIERKO 2024 – Risteilyesitys,2024-11-29,https://www.canva.com/d/LxK-UqOjO0Ti57w,src/_data/canva-presentations.json#58,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Annie Advisor – Generative AI as a Tool to Adapt Teaching,2024-11-05,https://www.canva.com/d/y4oM9QaEQrxs2Lq,src/_data/canva-presentations.json#24,possible_teaching_material_no_confirmed_course,"learning; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (learning, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Generation AI Workshop,2024-11-05,https://www.canva.com/d/-eSwZknSARYMaO9,src/_data/canva-presentations.json#25,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,International Conference on the Advancement of STEAM 2024,2024-10-28,https://www.canva.com/d/CYteD0Z-U5Z6TzJ,src/_data/canva-presentations.json#26,possible_teaching_material_no_confirmed_course,steam education,"Aihe liittyy opetukseen (steam education), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Tekoälyluento – OSYK,2024-10-08,https://www.canva.com/d/H13QgkxVZpEyel5,src/_data/canva-presentations.json#60,possible_teaching_material_no_confirmed_course,"media; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (media, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Opopassi-koulutus – Tekoäly ohjauksessa,2024-10-03,https://www.canva.com/d/hmeIKU2KmombmX2,src/_data/canva-presentations.json#61,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,AVI-koulutus – Tekoäly opetuksessa,2024-10-01,https://www.canva.com/d/o2KsaiK39PKEN2g,src/_data/canva-presentations.json#62,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Monilukutaito on opettajan supervoima – Tekoälylukutaito,2024-09-26,https://www.canva.com/d/DUFz3anJzfZmV8G,src/_data/canva-presentations.json#63,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Tekoäly on jo kaikkialla – Miten ilmiötä tulisi lähestyä?,2024-09-26,https://www.canva.com/d/F5-Wd95VzJy0JoP,src/_data/canva-presentations.json#64,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Tekoälytyökalut – Webinaari 2024,2024-09-24,https://www.canva.com/d/m5VefIslzj_iYuG,src/_data/canva-presentations.json#65,possible_teaching_material_no_confirmed_course,tekoälylukutaito,"Aihe liittyy opetukseen (tekoälylukutaito), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Tekoäly arjessa – EDUTEN/Opinvirta,2024-09-19,https://www.canva.com/d/WNfJmky8Se8aUa6,src/_data/canva-presentations.json#66,possible_teaching_material_no_confirmed_course,"media; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (media, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,VESO 2024 – Tekoäly opetuksessa,2024-08-30,https://www.canva.com/d/i5qAHZkGYqjOGZV,src/_data/canva-presentations.json#67,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly; koulutus","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly, koulutus), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,VESO elokuu 2024 – Tekoäly koulussa,2024-08-30,https://www.canva.com/d/H8tSyhG_9jcwRpr,src/_data/canva-presentations.json#68,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,VESO 2024 – Tekoäly oppimassa ja opettamassa,2024-08-05,https://www.canva.com/d/SiQ1lIJLHO9eT0t,src/_data/canva-presentations.json#69,possible_teaching_material_no_confirmed_course,"media; tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (media, tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,From EU AI Act to National AI Guidelines,2024-06-27,https://www.canva.com/d/c8WhYSwnqMjsYUZ,src/_data/canva-presentations.json#28,possible_teaching_material_no_confirmed_course,ai literacy,"Aihe liittyy opetukseen (ai literacy), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Fedutalk – Generative AI in Education,2024-06-26,https://www.canva.com/d/tjjrZpkP2brKCKh,src/_data/canva-presentations.json#29,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly; koulutus","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly, koulutus), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Fedutalk – Generative AI in Education (Kosovo),2024-06-26,https://canva.link/gkabrxufe8dhnjp,src/_data/canva-presentations.json#9,possible_teaching_material_no_confirmed_course,ai literacy,"Aihe liittyy opetukseen (ai literacy), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,FCLAB ja norssit – Generation AI,2024-04-17,https://www.canva.com/d/yBTK1xtETo0tuLp,src/_data/canva-presentations.json#70,possible_teaching_material_no_confirmed_course,fab lab,"Aihe liittyy opetukseen (fab lab), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,ITK2024,2024-04-12,https://www.canva.com/d/1U8nu6YXdIOguXc,src/_data/canva-presentations.json#30,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,Tekoäly opettajan työkaluna – Inspiraatiosessio,2024-03-13,https://www.canva.com/d/S9UhE1RwcwtuNMz,src/_data/canva-presentations.json#71,possible_teaching_material_no_confirmed_course,tekoäly opettajan työkaluna,"Aihe liittyy opetukseen (tekoäly opettajan työkaluna), mutta Canva-metadatasta ei löytynyt kurssikoodia tai virallista kurssinimeä. Ei sidota kurssiin ilman käsin varmistettua kytkentää."
canva,Kuntaliitto digiverkosto – Tekoäly koulutuksessa,2024-03-11,https://www.canva.com/d/rcjGtO0E3RNGeXW,src/_data/canva-presentations.json#72,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,OAJ SAUNA – Tekoäly ja opettajuus,2024-02-06,https://www.canva.com/d/tjqmy-4Lc_5j41O,src/_data/canva-presentations.json#74,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
canva,OPH-webinaari – Tekoäly opetuksessa 2023,2023-11-20,https://www.canva.com/d/d6ho42WobmfnVvc,src/_data/canva-presentations.json#75,possible_teaching_material_no_confirmed_course,"tekoäly; tekoaly; webinaari","Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (tekoäly, tekoaly, webinaari), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
slideshare,"""Digital enabled learning"" (Arctic frontiers speech 2020)",2020-02-18,https://www.slideshare.net/slideshow/digital-enabled-learning-arctic-frontiers-speech-2020/228552429,src/presentations/ss-digital-enabled-learning-arctic-frontiers-speech-2020.md,possible_teaching_material_no_confirmed_course,learning,"Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (learning), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
slideshare,"Are we currently moving from the age of mobolism to age of artificail intelligence, learning analytics and robotics? Yes were are! How to couple emerging technology with learning and teaching?",2019-03-11,https://www.slideshare.net/slideshow/are-we-currently-moving-from-the-age-of-mobilism-to-age-of-artificial-intelligence-learning-analytics-and-robotics-yes-we-arehow-to-couple-emergent-technology-with-learning-and-teaching/135625316,src/presentations/ss-are-we-currently-moving-from-the-age-of-mobolism-to-age-of-artificail-intelligen.md,possible_teaching_material_no_confirmed_course,learning,"Materiaalissa on opetukseen tai oppimiseen liittyviä tunnisteita (learning), mutta kurssikoodia tai lähdeaineiston mukaista kurssinimeä ei löytynyt."
