material_source,material_title,material_date,material_url,material_reference,linked_course_id,linked_course_name,course_evidence_level,link_type,matched_term,evidence_summary,course_source_reference_ids
slideshare,"Luento 1: Tieto- ja viestintätekniikka pedagogisena työvälineenä (ääni ja diat eivät ole synkassa, siitä saa kiiittää Slidesharea)",2012-08-30,https://www.slideshare.net/slideshow/tieto-ja-viestinttekniikan/14116017,src/presentations/ss-luento-1-tieto-ja-viestintatekniikka-pedagogisena-tyovalineena-aani-ja-diat-eiva.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,explicit_course_name,Tieto- ja viestintätekniikka pedagogisena työvälineenä,"Materiaalin otsikossa, kuvauksessa tai tekstissä esiintyy kurssinimi tai nimivariantti: Tieto- ja viestintätekniikka pedagogisena työvälineenä.","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,Tieto ja viestintätekniikka pedagogisena työvälineenä. luento 1,2015-08-31,https://www.slideshare.net/slideshow/tieto-ja-viestintatekniikka-pedagogisena-tyovalineena-luento-1/52268646,src/presentations/ss-tieto-ja-viestinta-tekniikka-pedagogisena-tyo-va-lineena-luento-1.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,explicit_course_name,Tieto- ja viestintätekniikka pedagogisena työvälineenä,"Materiaalin otsikossa, kuvauksessa tai tekstissä esiintyy kurssinimi tai nimivariantti: Tieto- ja viestintätekniikka pedagogisena työvälineenä.","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,Digitaalinen media oppimisessa ja opettamisessa (2015),2015-03-16,https://www.slideshare.net/slideshow/digitaalinen-media-oppimisessa-ja-opettamisessa-2015/45880729,src/presentations/ss-digitaalinen-media-oppimisessa-ja-opettamisessa-2015.md,410017Y,Multimedia oppimisprojektina / Digitaalinen media opetuksessa ja oppimisessa / Digitaalinen media oppimisessa ja opettamisessa,strong,explicit_course_name,"Digitaalinen media oppimisessa ja opettamisessa; digitaalinen media oppimisessa ja opettamisessa","Materiaalin otsikossa, kuvauksessa tai tekstissä esiintyy kurssinimi tai nimivariantti: Digitaalinen media oppimisessa ja opettamisessa. Lisätunnisteet: digitaalinen media oppimisessa ja opettamisessa.","turn7search105; turn7search97; turn7search145; turn7search113; turn7search133; turn7search137; turn7search139; turn7search126; turn22search200; turn23search218"
slideshare,1. luento tieto- ja viestintätekniikan perusteet opintojaksolla: TVT opetuskäytön historia,2011-08-31,https://www.slideshare.net/slideshow/1-luento-tieto-ja-viestinttekniikan-perusteet-opintojaksolla-tvt-opetuskytn-historia/9088829,src/presentations/ss-1-luento-tieto-ja-viestintatekniikan-perusteet-opintojaksolla-tvt-opetuskayton-h.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,probable_legacy_course_material,tvt opetuskäytön historia,"Materiaalista löytyi tunniste ""tvt opetuskäytön historia"" (vanhan 410014Y-luentosarjan otsikko- tai teemakaava).","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,2. luento tieto- ja viestintätekniikan pedagogiset perusteet kurssilla. TVT ja yhteiskunta,2011-09-01,https://www.slideshare.net/slideshow/2-luento-tieto-ja-viestinttekniikan-pedagogiset-perusteet-kurssilla-tvt-ja-yhteiskunta/9101048,src/presentations/ss-2-luento-tieto-ja-viestintatekniikan-pedagogiset-perusteet-kurssilla-tvt-ja-yhte.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,probable_legacy_course_material,tieto ja viestintätekniikan pedagogiset perusteet,"Materiaalista löytyi tunniste ""tieto ja viestintätekniikan pedagogiset perusteet"" (vanhan 410014Y-luentosarjan otsikko- tai teemakaava).","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,3. luento tieto- ja viestintätekniikan pedagogiset perusteet: tietokoneavusteinen yhteisöllinen oppiminen (CSCL),2011-09-07,https://www.slideshare.net/slideshow/3-luento-tieto-ja-viestinttekniikan-pedagogiset-perusteet-tietokoneavusteinen-yhteisllinen-oppiminen-cscl/9167433,src/presentations/ss-3-luento-tieto-ja-viestintatekniikan-pedagogiset-perusteet-tietokoneavusteinen-y.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,probable_legacy_course_material,tieto ja viestintätekniikan pedagogiset perusteet,"Materiaalista löytyi tunniste ""tieto ja viestintätekniikan pedagogiset perusteet"" (vanhan 410014Y-luentosarjan otsikko- tai teemakaava).","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,4. luento: tieto ja viestintätekniikan pedagogiset perusteet: nykyajan medialukutataito,2011-09-09,https://www.slideshare.net/slideshow/4-luento-tieto-ja-viestinttekniikan-pedagogiset-perusteet-nykyajan-medialukutataito/9195772,src/presentations/ss-4-luento-tieto-ja-viestintatekniikan-pedagogiset-perusteet-nykyajan-medialukutat.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,probable_legacy_course_material,tieto ja viestintätekniikan pedagogiset perusteet,"Materiaalista löytyi tunniste ""tieto ja viestintätekniikan pedagogiset perusteet"" (vanhan 410014Y-luentosarjan otsikko- tai teemakaava).","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,5. Luento tieto- ja viestintätekniikan pedagogiset perusteet: tulevaisuus syntyy tutkimalla,2011-09-19,https://www.slideshare.net/slideshow/luento5tutkimus-final/9318465,src/presentations/ss-5-luento-tieto-ja-viestintatekniikan-pedagogiset-perusteet-tulevaisuus-syntyy-tu.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,probable_legacy_course_material,tieto ja viestintätekniikan pedagogiset perusteet,"Materiaalista löytyi tunniste ""tieto ja viestintätekniikan pedagogiset perusteet"" (vanhan 410014Y-luentosarjan otsikko- tai teemakaava).","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,"Luento 2: Tieto- ja viestintätekniikan opetuskäyttö ja yhteiskunta (diat ja ääni eivät ole synkassa, kiittäkäämme siitä slidesharea)",2012-09-04,https://www.slideshare.net/slideshow/ktk-tvt-luento2yhteiskunta/14161524,src/presentations/ss-luento-2-tieto-ja-viestintatekniikan-opetuskaytto-ja-yhteiskunta-diat-ja-aani-ei.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,probable_legacy_course_material,tieto ja viestintätekniikan opetuskäyttö ja yhteiskunta,"Materiaalista löytyi tunniste ""tieto ja viestintätekniikan opetuskäyttö ja yhteiskunta"" (vanhan 410014Y-luentosarjan otsikko- tai teemakaava).","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,"Luento 3: Opetuksen uudet ympäristöt ja teknologiat (äänet eivät ole synkassa diojen kanssa, kiitos slidesharen)",2012-09-04,https://www.slideshare.net/slideshow/opetuksen-uudet-ympristt-ja-teknologiat/14169484,src/presentations/ss-luento-3-opetuksen-uudet-ymparistot-ja-teknologiat-aanet-eivat-ole-synkassa-dioj.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,probable_legacy_course_material,opetuksen uudet ympäristöt ja teknologiat,"Materiaalista löytyi tunniste ""opetuksen uudet ympäristöt ja teknologiat"" (vanhan 410014Y-luentosarjan otsikko- tai teemakaava).","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,"TVT Oppimisen tukena (ääni ei ole synkassa diojen kanssa, kiitos slidesharen)",2012-10-09,https://www.slideshare.net/slideshow/tvt-oppimisen-tukena/14647647,src/presentations/ss-tvt-oppimisen-tukena-aani-ei-ole-synkassa-diojen-kanssa-kiitos-slidesharen.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,probable_legacy_course_material,tvt oppimisen tukena,"Materiaalista löytyi tunniste ""tvt oppimisen tukena"" (vanhan 410014Y-luentosarjan otsikko- tai teemakaava).","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,Teoria suunnittelu a_otvt,2013-05-14,https://www.slideshare.net/slideshow/teoria-suunnittelu-aotvt/21178375,src/presentations/ss-teoria-suunnittelu-a-otvt.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,probable_legacy_course_material,teoria suunnittelu a otvt,"Materiaalista löytyi tunniste ""teoria suunnittelu a otvt"" (vanhan 410014Y-luentosarjan otsikko- tai teemakaava).","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,Multimedia I “perinteinen” tuotettu multimedia murroksessa,2012-01-09,https://www.slideshare.net/slideshow/multimedia-i-perinteinen-tuotettu-multimedia-murroksessa/10904451,src/presentations/ss-multimedia-i-perinteinen-tuotettu-multimedia-murroksessa.md,410017Y,Multimedia oppimisprojektina / Digitaalinen media opetuksessa ja oppimisessa / Digitaalinen media oppimisessa ja opettamisessa,strong,probable_legacy_course_material,multimedia i,"Materiaalista löytyi tunniste ""multimedia i"" (digitaalisen median ja multimedia-kurssikokonaisuuden otsikko- tai luentokaava).","turn7search105; turn7search97; turn7search145; turn7search113; turn7search133; turn7search137; turn7search139; turn7search126; turn22search200; turn23search218"
slideshare,"Multimedia II. multimedian peruselementit: ääni, kuva, video, teksti",2012-01-11,https://www.slideshare.net/slideshow/multimedia-ii-multimedian-peruselementit-ni-kuva-video-teksti/10957217,src/presentations/ss-multimedia-ii-multimedian-peruselementit-aani-kuva-video-teksti.md,410017Y,Multimedia oppimisprojektina / Digitaalinen media opetuksessa ja oppimisessa / Digitaalinen media oppimisessa ja opettamisessa,strong,probable_legacy_course_material,multimedia ii,"Materiaalista löytyi tunniste ""multimedia ii"" (digitaalisen median ja multimedia-kurssikokonaisuuden otsikko- tai luentokaava).","turn7search105; turn7search97; turn7search145; turn7search113; turn7search133; turn7search137; turn7search139; turn7search126; turn22search200; turn23search218"
slideshare,Multimedia III: Itse tuotettu multimedia,2012-01-16,https://www.slideshare.net/slideshow/multimedia-iii-itse-tuotettu-multimedia/11072883,src/presentations/ss-multimedia-iii-itse-tuotettu-multimedia.md,410017Y,Multimedia oppimisprojektina / Digitaalinen media opetuksessa ja oppimisessa / Digitaalinen media oppimisessa ja opettamisessa,strong,probable_legacy_course_material,multimedia iii,"Materiaalista löytyi tunniste ""multimedia iii"" (digitaalisen median ja multimedia-kurssikokonaisuuden otsikko- tai luentokaava).","turn7search105; turn7search97; turn7search145; turn7search113; turn7search133; turn7search137; turn7search139; turn7search126; turn22search200; turn23search218"
slideshare,Multimedia IV: valmiiden tuotosten käyttäminen ja omien jakaminen tekijänoikeuden valossa,2012-01-18,https://www.slideshare.net/slideshow/multimedia-iv-valmiiden-tuotosten-kyttminen-ja-omien-jakaminen-tekijnoikeuden-valossa/11127436,src/presentations/ss-multimedia-iv-valmiiden-tuotosten-kayttaminen-ja-omien-jakaminen-tekijanoikeuden.md,410017Y,Multimedia oppimisprojektina / Digitaalinen media opetuksessa ja oppimisessa / Digitaalinen media oppimisessa ja opettamisessa,strong,probable_legacy_course_material,multimedia iv,"Materiaalista löytyi tunniste ""multimedia iv"" (digitaalisen median ja multimedia-kurssikokonaisuuden otsikko- tai luentokaava).","turn7search105; turn7search97; turn7search145; turn7search113; turn7search133; turn7search137; turn7search139; turn7search126; turn22search200; turn23search218"
slideshare,Multimedia V: Opetussuunnitelmasta digitarinaan,2012-01-25,https://www.slideshare.net/slideshow/luento-5-opetussuunnitelmasta-digitarinaan/11248661,src/presentations/ss-multimedia-v-opetussuunnitelmasta-digitarinaan.md,410017Y,Multimedia oppimisprojektina / Digitaalinen media opetuksessa ja oppimisessa / Digitaalinen media oppimisessa ja opettamisessa,strong,probable_legacy_course_material,"multimedia v; opetussuunnitelmasta digitarinaan","Materiaalista löytyi tunniste ""multimedia v"" (digitaalisen median ja multimedia-kurssikokonaisuuden otsikko- tai luentokaava). Lisätunnisteet: opetussuunnitelmasta digitarinaan.","turn7search105; turn7search97; turn7search145; turn7search113; turn7search133; turn7search137; turn7search139; turn7search126; turn22search200; turn23search218"
slideshare,Luento 1: mediakasvatuksesta kohti monilukutaitoa (digitaalinen media oppimisprojektina 2014),2014-01-09,https://www.slideshare.net/slideshow/luento-1-mediakasvatuksesta-kohti-monilukutaitoa-digitaalinen-media-oppimisprojektina-2014/29836950,src/presentations/ss-luento-1-mediakasvatuksesta-kohti-monilukutaitoa-digitaalinen-media-oppimisproje.md,410017Y,Multimedia oppimisprojektina / Digitaalinen media opetuksessa ja oppimisessa / Digitaalinen media oppimisessa ja opettamisessa,strong,probable_legacy_course_material,"digitaalinen media oppimisprojektina; mediakasvatuksesta kohti monilukutaitoa","Materiaalista löytyi tunniste ""digitaalinen media oppimisprojektina"" (digitaalisen median ja multimedia-kurssikokonaisuuden otsikko- tai luentokaava). Lisätunnisteet: mediakasvatuksesta kohti monilukutaitoa.","turn7search105; turn7search97; turn7search145; turn7search113; turn7search133; turn7search137; turn7search139; turn7search126; turn22search200; turn23search218"
slideshare,Koulu (tieto)yhteiskunnassa (TEL2),2013-03-13,https://www.slideshare.net/slideshow/koulu-tieto-yhtkuntatel2/17179684,src/presentations/ss-koulu-tieto-yhteiskunnassa-tel2.md,413314S,Designing Technology-Enhanced Learning in Global School Systems (TEL2),strong,probable_legacy_course_material,tel2,"Materiaalista löytyi tunniste ""tel2"" (TEL2-polun otsikko- tai lyhenneosuma).",turn7search87
slideshare,Quali lecture 1: Understanding the research process,2013-03-11,https://www.slideshare.net/slideshow/quali-lecture-1-17116725/17116725,src/presentations/ss-quali-lecture-1-understanding-the-research-process.md,413315S-01,Research Methodology: Qualitative Research (QUALI),strong,probable_legacy_course_material,"quali lecture; understanding the research process","Materiaalista löytyi tunniste ""quali lecture"" (QUALI-opintojakson luentootsikko). Lisätunnisteet: understanding the research process.",turn7search87
slideshare,OSAAVA VESO: Tieto- ja viestintätekniikka pedagogisena työvälineenä. Raahe 2015,2015-10-10,https://www.slideshare.net/slideshow/tieto-ja-viestinttekniikka-pedagogisena-tyvlineen-raahe-2015/53761850,src/presentations/ss-osaava-veso-tieto-ja-viestintatekniikka-pedagogisena-tyovalineena-raahe-2015.md,410014Y,Tieto- ja viestintätekniikka pedagogisena työvälineenä,strong,possible_reuse_of_course_material,Tieto- ja viestintätekniikka pedagogisena työvälineenä,"Materiaalin otsikossa, kuvauksessa tai tekstissä esiintyy kurssinimi tai nimivariantti: Tieto- ja viestintätekniikka pedagogisena työvälineenä.; materiaali näyttää olevan muussa koulutus- tai tapahtumakontekstissa, joten tätä ei merkitä suoraksi kurssimateriaaliksi.","turn23search228; turn19search200; turn23search222; turn23search219; turn23search220; turn23search221; turn23search223; turn23search218; turn7search87; turn7search105"
slideshare,Developing Computational Thinking Practises through Digital Fabrication Activities,2019-06-13,https://www.slideshare.net/slideshow/developing-computational-thinking-practises-through-digital-fabrication-activities/149380656,src/presentations/ss-developing-computational-thinking-practises-through-digital-fabrication-activiti.md,407062A,Ohjelmointi perusopetuksessa,strong,contextual_topic_or_pathway,computational thinking,"Materiaalista löytyi tunniste ""computational thinking"" (ohjelmointi- ja computational thinking -teemaosuma).","turn7search144; turn23search218; turn16search160; turn16search163"
slideshare,Supporting Fab Lab facilitators to develop pedagogical practices to improve learning in digital fabrication activities,2019-05-29,https://www.slideshare.net/slideshow/supporting-fab-lab-facilitators-to-develop-pedagogical-practices-to-improve-learning-in-digital-fabrication-activities/148128991,src/presentations/ss-supporting-fab-lab-facilitators-to-develop-pedagogical-practices-to-improve-lear.md,418028P,Learning Environments and Technologies / Technology Enhanced Learning and Digital Fabrication,strong,contextual_topic_or_pathway,"digital fabrication; fab lab","Materiaalista löytyi tunniste ""digital fabrication"" (uudemman LET/digital fabrication -alueen teemaosuma; tarkista toteutuskytkentä erikseen). Lisätunnisteet: fab lab.","turn18search170; turn18search181; turn16search171; turn16search142; turn1search8; turn1search22"
slideshare,Developing Computational Thinking Practises through Digital Fabrication Activities,2019-06-13,https://www.slideshare.net/slideshow/developing-computational-thinking-practises-through-digital-fabrication-activities/149380656,src/presentations/ss-developing-computational-thinking-practises-through-digital-fabrication-activiti.md,418028P,Learning Environments and Technologies / Technology Enhanced Learning and Digital Fabrication,strong,contextual_topic_or_pathway,digital fabrication,"Materiaalista löytyi tunniste ""digital fabrication"" (uudemman LET/digital fabrication -alueen teemaosuma; tarkista toteutuskytkentä erikseen).","turn18search170; turn18search181; turn16search171; turn16search142; turn1search8; turn1search22"
slideshare,3. luento tieto- ja viestintätekniikan pedagogiset perusteet: tietokoneavusteinen yhteisöllinen oppiminen (CSCL),2011-09-07,https://www.slideshare.net/slideshow/3-luento-tieto-ja-viestinttekniikan-pedagogiset-perusteet-tietokoneavusteinen-yhteisllinen-oppiminen-cscl/9167433,src/presentations/ss-3-luento-tieto-ja-viestintatekniikan-pedagogiset-perusteet-tietokoneavusteinen-y.md,,Collaborative Learning,contextual,contextual_topic_or_pathway,"yhteisöllinen oppiminen; cscl","Materiaalista löytyi tunniste ""yhteisöllinen oppiminen"" (tutkimus- ja opetusteema, joka kuuluu LET-polkuun mutta ei yksinään nimeä opintojaksoa). Lisätunnisteet: cscl.","turn23search218; turn18search185"
slideshare,Scaffolding collaborative learning with cognitive tools based on mobile computers (2011),2011-11-16,https://www.slideshare.net/slideshow/scaffolding-collaborative-learning-with-cognitive-tools-based-on-mobile-computers-10188888/10188888,src/presentations/ss-scaffolding-collaborative-learning-with-cognitive-tools-based-on-mobile-computer.md,,Collaborative Learning,contextual,contextual_topic_or_pathway,Collaborative Learning,"Materiaalin otsikossa, kuvauksessa tai tekstissä esiintyy kurssinimi tai nimivariantti: Collaborative Learning.","turn23search218; turn18search185"
slideshare,CSCL Luento B: Esimerkkejä todellisesta elämästä ja laboratorion perukoilta,2011-12-01,https://www.slideshare.net/slideshow/cscl-luento-b-esimerkkej-todellisesta-elmst-ja-laboratorion-perukoilta/10410352,src/presentations/ss-cscl-luento-b-esimerkkeja-todellisesta-elamasta-ja-laboratorion-perukoilta.md,,Collaborative Learning,contextual,contextual_topic_or_pathway,cscl,"Materiaalista löytyi tunniste ""cscl"" (tutkimus- ja opetusteema, joka kuuluu LET-polkuun mutta ei yksinään nimeä opintojaksoa).","turn23search218; turn18search185"
slideshare,CSCL - Tietokoneavusteinen yhteisöllinen oppiminen (kotu2011A),2011-12-01,https://www.slideshare.net/slideshow/cscl-tietokoneavusteinen-yhteisllinen-oppiminen-kotu2011a/10410251,src/presentations/ss-cscl-tietokoneavusteinen-yhteisollinen-oppiminen-kotu2011a.md,,Collaborative Learning,contextual,contextual_topic_or_pathway,"yhteisöllinen oppiminen; cscl","Materiaalista löytyi tunniste ""yhteisöllinen oppiminen"" (tutkimus- ja opetusteema, joka kuuluu LET-polkuun mutta ei yksinään nimeä opintojaksoa). Lisätunnisteet: cscl.","turn23search218; turn18search185"
slideshare,Using Gartner’s Hype Curve as a basis to analyze research on the educational use of ubiquitous computing�,2013-06-19,https://www.slideshare.net/slideshow/cscl-laru-presentationbfinc-23201943/23201943,src/presentations/ss-using-gartner-s-hype-curve-as-a-basis-to-analyze-research-on-the-educational-use.md,,Collaborative Learning,contextual,contextual_topic_or_pathway,cscl,"Materiaalista löytyi tunniste ""cscl"" (tutkimus- ja opetusteema, joka kuuluu LET-polkuun mutta ei yksinään nimeä opintojaksoa).","turn23search218; turn18search185"
slideshare,Designing learning activities for socially shared regulation in seamless learning contexts.,2014-11-30,https://www.slideshare.net/slideshow/designing-learning-activities-for-socially-shared-regulation-in-seamless-learning-contexts/42192519,src/presentations/ss-designing-learning-activities-for-socially-shared-regulation-in-seamless-learnin.md,,Self-Regulated Learning,contextual,contextual_topic_or_pathway,socially shared regulation,"Materiaalista löytyi tunniste ""socially shared regulation"" (LET-polun teoreettinen teema, ei yksinään opintojaksotodiste).","turn23search218; turn18search185"
