presentationTopic,presentationTopicId,presentationCount,researchTopic,researchTopicId,mappingType,mappingReason,evidenceSource,safeForArchiveFilter,safeForResearchContext,humanReviewNeeded,notes
"AI literacy","ai literacy","12","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","ALIAS","Direct English alias of the current AI literacy research preset used in current research copy and curated publications.","src/en/research.md: AI literacy; src/curated/researchfi/0699440925.md; src/curated/researchfi/0693115624.md","true","true","false","langs=en/fi | sources=canva | samples=DAHI6X6dR_g;g5EqinrmAUi2FB8;Cms-4m8mJZ9yK4e"
"digitaalinen media","digitaalinen media","12","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/luento-5-opetussuunnitelmasta-digitarinaan/11248661|Multimedia V: Opetussuunnitelmasta digitarinaan;slideshare|https://www.slideshare.net/slideshow/multimedia-iv-valmiiden-tuotosten-kyttminen-ja-omien-jakaminen-tekijnoikeuden-valossa/11127436|Multimedia IV: valmiiden tuotosten käyttäminen ja omien jakaminen tekijänoikeuden valossa;slideshare|https://www.slideshare.net/slideshow/multimedia-ii-multimedian-peruselementit-ni-kuva-video-teksti/10957217|Multimedia II. multimedian peruselementit: ääni, kuva, video, teksti"
"Somekone","somekone","12","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","NARROWER","Curated research program already treats Somekone as an AI-literacy teaching tool under the current research themes.","src/curated/research-program.json: summary mentions Somekone under tekoalylukutaito/digipedagogiikka; src/curated/researchfi/02241881YJ.md","true","true","false","langs=en/fi | sources=canva | samples=g5EqinrmAUi2FB8;_Hb99jYnxlwV_7J;KStaqdjmBpQz_Yq"
"multimedia","multimedia","11","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/luento-5-opetussuunnitelmasta-digitarinaan/11248661|Multimedia V: Opetussuunnitelmasta digitarinaan;slideshare|https://www.slideshare.net/slideshow/multimedia-iv-valmiiden-tuotosten-kyttminen-ja-omien-jakaminen-tekijnoikeuden-valossa/11127436|Multimedia IV: valmiiden tuotosten käyttäminen ja omien jakaminen tekijänoikeuden valossa;slideshare|https://www.slideshare.net/slideshow/multimedia-ii-multimedian-peruselementit-ni-kuva-video-teksti/10957217|Multimedia II. multimedian peruselementit: ääni, kuva, video, teksti"
"EU AI Act","eu ai act","10","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","RELATED-NOT-EQUIVALENT","Regulatory topic tied to AI work, but not one of the current research preset topics or shared research themes.","src/fi/tutkimus.md; src/_data/seoTopics.js","true","false","false","langs=en/fi | sources=canva | samples=DAHI6X6dR_g;Un4WxPZdZD5qG6a;jkh6GGDWw4nOc3_"
"mobiilioppiminen","mobiilioppiminen","9","Mobiilioppiminen ja yhteisöllinen tiedonrakentelu","long-term-learning","NARROWER","Exact current research theme label under the long-term learning preset.","src/_data/researchProgram.js: RESEARCH_THEME_LABELS; src/_data/seoTopics.js: koulutusteknologia-ja-oppimisymparistot researchThemes","true","true","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/scaffolding-collaborative-learning-with-cognitive-tools-based-on-mobile-computers-10188888/10188888|Scaffolding collaborative learning with cognitive tools based on mobile computers (2011);slideshare|https://www.slideshare.net/slideshow/cscl-laru-presentationbfinc-23201943/23201943|Using Gartner’s Hype Curve as a basis to analyze research on the educational use of ubiquitous computing�;slideshare|https://www.slideshare.net/slideshow/mobiilioppiminen-mit-se-teknologia-tahtoo/16502363|""mobiilioppiminen"" -mitä se teknologia tahtoo"
"generative AI","generative ai","8","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","RELATED-NOT-EQUIVALENT","English adjacent AI topic, but not a current canonical research preset or shared research theme.","src/en/research.md; src/_data/seoTopics.js","true","false","false","langs=en/fi | sources=canva | samples=DAHI6X6dR_g;Cms-4m8mJZ9yK4e;Th9VKpjA84-sgKY"
"opetettava kone","opetettava kone","8","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","NARROWER","Curated research program already treats Opetettava kone as a machine-learning teaching tool under the current AI literacy work.","src/curated/research-program.json: no-code tool summary under tekoalylukutaito + koneoppiminen; src/curated/canva/CRypZKJybJhhwBd.md","true","true","false","langs=fi | sources=canva | samples=CRypZKJybJhhwBd;Mh-ALQxZX1-EQaB;BwG8adUhENZ7jrX"
"XAI","xai","8","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","NARROWER","Explicit acronym already used in curated research evidence for explainable AI under the AI literacy preset.","src/curated/researchfi/02241881YJ.md; src/curated/canva/k2U-B9pZNbblMHV.md","true","true","false","langs=en/fi | sources=canva | samples=qjolBc10LSzMSAR;g5EqinrmAUi2FB8;W2018dVgiTBgQxw"
"ChatGPT","chatgpt","7","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","RELATED-NOT-EQUIVALENT","Tool-specific topic rather than a current curated research preset.","src/fi/tutkimus.md; src/_data/seoTopics.js","true","false","false","langs=en/fi | sources=canva | samples=Cms-4m8mJZ9yK4e;sdrdv3W33qRpdA8;aDY3w1A8bLJm0kr"
"Teknologia ja digitaalisuus","teknologia ja digitaalisuus","7","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/supporting-fab-lab-facilitators-to-develop-pedagogical-practices-to-improve-learning-in-digital-fabrication-activities/148128991|Supporting Fab Lab facilitators to develop pedagogical practices to improve learning in digital fabrication activities;slideshare|https://www.slideshare.net/slideshow/digital-enabled-learning-arctic-frontiers-speech-2020/228552429|""Digital enabled learning"" (Arctic frontiers speech 2020);slideshare|https://www.slideshare.net/slideshow/davidin-ja-goljatin-taistelu-kesyttk-opettajateknologian-vai-jyrk-teknologia-opettajan-teknologiatuetun-oppimisen-ja-opettamisen-nykyhetken-ja-tulevaisuuden-tarkastelua-eri-nkkulmista/140995534|”Davidin ja Goljatin taistelu: kesyttääkö opettaja teknologian vai jyrääkö teknologia opettajan? Teknologiatuetun oppimisen ja opettamisen nykyhetken ja tulevaisuuden tarkastelua eri näkökulmista"
"tekoäly opetuksessa","tekoaly opetuksessa","7","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","NARROWER","Exact current research theme label that rolls up to the AI literacy preset.","src/_data/researchProgram.js: RESEARCH_THEME_LABELS; src/_data/seoTopics.js: tekoalylukutaito researchThemes","true","true","false","langs=fi | sources=canva | samples=DCBR_muSwblqYUG;fMchhKOJuh9LPSe;I1SYHLZ9wRiCanl"
"VESO","veso","7","Opettajankoulutus ja pedagoginen muutos","teacher-education","RELATED-NOT-EQUIVALENT","Training event context, not a research topic.","src/_data/seoTopics.js: opettajankoulutus keywords include veso; src/presentations/riihim-ki-veso-2026.md","true","false","false","langs=en/fi | sources=canva | samples=aTM5lGaNw5NYCtj;DCBR_muSwblqYUG;Hlih1iAZAFJZTxM"
"CSCL","cscl","6","Mobiilioppiminen ja yhteisöllinen tiedonrakentelu","long-term-learning","ALIAS","Explicit keyword and exact research theme already used in the current long-term learning preset.","src/_data/seoTopics.js: koulutusteknologia-ja-oppimisymparistot keywords include cscl; researchThemes include cscl","true","true","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/3-luento-tieto-ja-viestinttekniikan-pedagogiset-perusteet-tietokoneavusteinen-yhteisllinen-oppiminen-cscl/9167433|3. luento tieto- ja viestintätekniikan pedagogiset perusteet: tietokoneavusteinen yhteisöllinen oppiminen (CSCL);slideshare|https://www.slideshare.net/slideshow/cscl-laru-presentationbfinc-23201943/23201943|Using Gartner’s Hype Curve as a basis to analyze research on the educational use of ubiquitous computing�;slideshare|https://www.slideshare.net/slideshow/laru-thesisintro2012/12684734|Scaffolding learning activities in real life contexts with collaborative scripts and mobile computers"
"ITK","itk","6","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=2d_GA4aAEX9qmRs;sDBhfb4DZw_hcEG;W2018dVgiTBgQxw"
"Konferenssi","konferenssi","6","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=slideshare/youtube | samples=slideshare|https://www.slideshare.net/slideshow/supporting-fab-lab-facilitators-to-develop-pedagogical-practices-to-improve-learning-in-digital-fabrication-activities/148128991|Supporting Fab Lab facilitators to develop pedagogical practices to improve learning in digital fabrication activities;/presentations/eduxr-2020-suunnanmuutos-digiopettajasta-etaopettajaksi/;slideshare|https://www.slideshare.net/slideshow/digital-enabled-learning-arctic-frontiers-speech-2020/228552429|""Digital enabled learning"" (Arctic frontiers speech 2020)"
"koulutus","koulutus","6","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva | samples=kJtKo_ZUxCFEOTn;EAMOOLnvrmnE_0g;BwG8adUhENZ7jrX"
"opetuskäyttö","opetuskaytto","6","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=NwJZ8FVrbTIF80L;W2018dVgiTBgQxw;I1SYHLZ9wRiCanl"
"WordPress","wordpress","6","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/1-luento-tieto-ja-viestinttekniikan-perusteet-opintojaksolla-tvt-opetuskytn-historia/9088829|1. luento tieto- ja viestintätekniikan perusteet opintojaksolla: TVT opetuskäytön historia;slideshare|https://www.slideshare.net/slideshow/blogseducation/9087908|Blogs&education;slideshare|https://www.slideshare.net/slideshow/johdantoluento-tieto-ja-viestinttekniikan-perusteet-opintojaksolle/9088693|Johdantoluento tieto- ja viestintätekniikan perusteet opintojaksolle"
"21st century skills","21st century skills","5","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/koulu-tieto-yhtkuntatel2/17179684|Koulu (tieto)yhteiskunnassa (TEL2);slideshare|https://www.slideshare.net/slideshow/voot-luento1/32214653|Tämän vuosituhannen taidot ja koulun muutospaineet;slideshare|https://www.slideshare.net/slideshow/designing-and-supporting-use-of-emergent-technology-in-teacher-education-case-ict-workshops-for-teacher-education-students/28707610|Designing and supporting use of emergent technology in teacher education. Case: ICT workshops for teacher education students"
"koulutuspolitiikka","koulutuspolitiikka","5","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva | samples=/presentations/syntyvyys-ja-kouluik-luokat-oulussa-2026/;OhD7wKtj_XV-VGg;WrqBItfiBYxVHlM"
"opettajat","opettajat","5","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=7IyyLkfG4NvVNFy;I-r13uz6Wiip2cC;Mh-ALQxZX1-EQaB"
"robotiikka","robotiikka","5","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva/slideshare | samples=slideshare|https://www.slideshare.net/slideshow/davidin-ja-goljatin-taistelu-kesyttk-opettajateknologian-vai-jyrk-teknologia-opettajan-teknologiatuetun-oppimisen-ja-opettamisen-nykyhetken-ja-tulevaisuuden-tarkastelua-eri-nkkulmista/140995534|”Davidin ja Goljatin taistelu: kesyttääkö opettaja teknologian vai jyrääkö teknologia opettajan? Teknologiatuetun oppimisen ja opettamisen nykyhetken ja tulevaisuuden tarkastelua eri näkökulmista;slideshare|https://www.slideshare.net/slideshow/are-we-currently-moving-from-the-age-of-mobilism-to-age-of-artificial-intelligence-learning-analytics-and-robotics-yes-we-arehow-to-couple-emergent-technology-with-learning-and-teaching/135625316|Are we currently moving from the age of mobolism to age of artificail intelligence, learning analytics and robotics? Yes were are! How to couple emerging technology with learning and teaching?;slideshare|https://www.slideshare.net/slideshow/predicting-future-of-edtech-2030-v2/129224523|PREDICTING FUTURE OF EDTECH 2030 v2"
"STEAM","steam","5","","","RELATED-NOT-EQUIVALENT","Current research themes include STEAM as a subtheme in some curated records, but there is no current top-level research preset that safely owns it.","src/_data/researchProgram.js: RESEARCH_THEME_LABELS includes steam; src/_data/seoTopics.js: no preset currently exposes steam","true","false","false","langs=en | sources=canva/slideshare | samples=slideshare|https://www.slideshare.net/slideshow/supporting-fab-lab-facilitators-to-develop-pedagogical-practices-to-improve-learning-in-digital-fabrication-activities/148128991|Supporting Fab Lab facilitators to develop pedagogical practices to improve learning in digital fabrication activities;slideshare|https://www.slideshare.net/slideshow/digital-enabled-learning-arctic-frontiers-speech-2020/228552429|""Digital enabled learning"" (Arctic frontiers speech 2020);slideshare|https://www.slideshare.net/slideshow/davidin-ja-goljatin-taistelu-kesyttk-opettajateknologian-vai-jyrk-teknologia-opettajan-teknologiatuetun-oppimisen-ja-opettamisen-nykyhetken-ja-tulevaisuuden-tarkastelua-eri-nkkulmista/140995534|”Davidin ja Goljatin taistelu: kesyttääkö opettaja teknologian vai jyrääkö teknologia opettajan? Teknologiatuetun oppimisen ja opettamisen nykyhetken ja tulevaisuuden tarkastelua eri näkökulmista"
"työpaja","tyopaja","5","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva | samples=Qj3UMnjU3RwRv7P;_Hb99jYnxlwV_7J;Th9VKpjA84-sgKY"
"Web 2.0","web 2 0","5","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/soutelua-tendiallokossa-web-20-onko-sit-edes-olemassa-ajatuksia-ja-kokemuksia-sosiaalisen-webin-hydyntmisest-opetuksessa/202129|Soutelua tendiallokossa - Web 2.0, onko sitä edes olemassa? Ajatuksia ja kokemuksia sosiaalisen webin hyödyntämisestä opetuksessa.;slideshare|https://www.slideshare.net/slideshow/tvtopetuskytn-historiaa-visionreist-web20n-aikakauteen-presentation/744528|TVT-opetuskäytön historiaa: visionääreistä web2.0:n aikakauteen;slideshare|https://www.slideshare.net/slideshow/professional-use-of-social-media-web20/34945863|Professional use of social media (web2.0)"
"AIED","aied","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva | samples=y4oM9QaEQrxs2Lq;hmeIKU2KmombmX2;o2KsaiK39PKEN2g"
"arviointi","arviointi","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva/slideshare | samples=slideshare|https://www.slideshare.net/slideshow/lito2018-workshop-arviointi-suurilla-verkkokursseilla/99171640|Lito2018 workshop arviointi suurilla verkkokursseilla;slideshare|https://www.slideshare.net/slideshow/koe-oppimisymparistona-osa-i/2542679|Koe oppimisymparistona osa I;qxV96znMIpZ5Q2a"
"blogit","blogit","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/blogseducation/9087908|Blogs&education;slideshare|https://www.slideshare.net/slideshow/dokumenttien-jakaminen-ja-upottaminen-case-slideshare-wordpress/9264090|Harjoitus: Dokumenttien jakaminen ja upottaminen. Case: Slideshare -> Wordpress;slideshare|https://www.slideshare.net/slideshow/what-they-did-really-do-with-the-social-software-and-mobile-devices-a-temporal-analysis-of-longterm-technology-mediated-collaboration/2228659|What they did really do with the social software and mobile devices? A temporal analysis of long-term technology mediated collaboration."
"digitaalinen valmistus","digitaalinen valmistus","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/supporting-fab-lab-facilitators-to-develop-pedagogical-practices-to-improve-learning-in-digital-fabrication-activities/148128991|Supporting Fab Lab facilitators to develop pedagogical practices to improve learning in digital fabrication activities;slideshare|https://www.slideshare.net/slideshow/digital-enabled-learning-arctic-frontiers-speech-2020/228552429|""Digital enabled learning"" (Arctic frontiers speech 2020);slideshare|https://www.slideshare.net/slideshow/davidin-ja-goljatin-taistelu-kesyttk-opettajateknologian-vai-jyrk-teknologia-opettajan-teknologiatuetun-oppimisen-ja-opettamisen-nykyhetken-ja-tulevaisuuden-tarkastelua-eri-nkkulmista/140995534|”Davidin ja Goljatin taistelu: kesyttääkö opettaja teknologian vai jyrääkö teknologia opettajan? Teknologiatuetun oppimisen ja opettamisen nykyhetken ja tulevaisuuden tarkastelua eri näkökulmista"
"historia","historia","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/tvtopetuskytn-historiaa-visionreist-web20n-aikakauteen-presentation/744528|TVT-opetuskäytön historiaa: visionääreistä web2.0:n aikakauteen;slideshare|https://www.slideshare.net/slideshow/1-luento-tieto-ja-viestinttekniikan-perusteet-opintojaksolla-tvt-opetuskytn-historia/9088829|1. luento tieto- ja viestintätekniikan perusteet opintojaksolla: TVT opetuskäytön historia;slideshare|https://www.slideshare.net/slideshow/tvt-opetuskytn-historiaa-finnish/5361471|TVT opetuskäytön historiaa [finnish]"
"Kosovo","kosovo","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Hlih1iAZAFJZTxM;ELi8lObr4rmLy89;tjjrZpkP2brKCKh"
"opetus","opetus","4","Opettajankoulutus ja pedagoginen muutos","teacher-education","BROADER-NO","Too broad to force into the teacher education preset without adding noise.","src/_data/seoTopics.js: opettajankoulutus keywords include opetus","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g;2PrBoY6M2CTg60F;sdrdv3W33qRpdA8"
"shadow AI","shadow ai","4","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en/fi | sources=canva | samples=Un4WxPZdZD5qG6a;OhD7wKtj_XV-VGg;uZIb__sx1r4EAqT"
"teachable machine","teachable machine","4","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","NARROWER","Explicit curated English tool alias already present in the current research evidence set.","src/curated/researchfi/0701014225.md; src/curated/canva/g5EqinrmAUi2FB8.md","true","true","false","langs=en/fi | sources=canva | samples=qx9PoFlOBrBceoH;UigBOzdI_YhoZZG;-eSwZknSARYMaO9"
"teacher education","teacher education","4","Opettajankoulutus ja pedagoginen muutos","teacher-education","ALIAS","Direct English alias already used in current presentation and research material.","src/presentations/ss-designing-and-supporting-use-of-emergent-technology-in-teacher-education-case-ic.md; src/en/research.md","true","true","false","langs=en | sources=canva | samples=Hlih1iAZAFJZTxM;ELi8lObr4rmLy89;qX_3Ld__WgjScWJ"
